Date,Location, MinTemperature,MaxTemperature,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow 
2010-08-11, NorfolkIsland, 12.7, 18.4, 0.0, 3.4, 3.7, E, 43.0, E, ENE, 24.0, 19.0, 57.0, 61.0, 1028.3, 1025.3, 6.0, 7.0, 16.1, 16.8, No, 0.2, No
2010-08-12, NorfolkIsland, 14.4, 18.5, 0.2, 4.2, 0.3, NE, 69.0, NNE, NNE, 28.0, 33.0, 69.0, 84.0, 1021.5, 1015.4, 8.0, 8.0, 17.6, 17.8, No, 71.6, Yes
2010-08-13, NorfolkIsland, 15.5, 20.2, 71.6, nan, 7.9, NNW, 67.0, WNW, NW, 26.0, 17.0, 96.0, 64.0, 1009.5, 1010.2, 8.0, 1.0, 16.2, 19.9, Yes, 1.6, Yes
2010-08-14, NorfolkIsland, 15.8, 19.7, 1.6, 3.2, 8.8, WNW, 39.0, WNW, WNW, 7.0, 30.0, 84.0, 67.0, 1013.5, 1011.7, 6.0, 4.0, 17.0, 19.3, Yes, 0.6, No
2010-08-15, NorfolkIsland, 15.7, 19.6, 0.6, 3.2, 10.3, WSW, 31.0, W, WSW, 22.0, 22.0, 64.0, 59.0, 1017.7, 1016.5, 1.0, 2.0, 18.0, 19.1, No, 0.6, No
2010-08-16, NorfolkIsland, 13.4, 20.2, 0.6, 3.0, 7.9, NW, 48.0, NW, NW, 11.0, 26.0, 69.0, 74.0, 1016.5, 1014.3, 2.0, 3.0, 17.5, 19.3, No, 3.8, Yes
2010-08-17, NorfolkIsland, 16.1, 20.3, 3.8, 4.0, 8.0, W, 35.0, NW, WNW, 13.0, 22.0, 94.0, 65.0, 1017.9, 1015.9, 7.0, 4.0, 16.7, 19.3, Yes, 0.4, No
2010-08-18, NorfolkIsland, 14.4, 18.9, 0.4, 4.2, 10.8, SW, 50.0, SW, SW, 24.0, 28.0, 57.0, 56.0, 1021.6, 1019.3, 1.0, 2.0, 17.3, 17.6, No, 0.0, No
2010-08-19, NorfolkIsland, 13.1, 18.5, 0.0, 5.2, 8.9, SSW, 30.0, SSW, WSW, 11.0, 9.0, 60.0, 57.0, 1022.4, 1019.5, 1.0, 5.0, 16.9, 17.4, No, 0.0, No
2010-08-20, NorfolkIsland, 14.1, 20.2, 0.0, 3.2, 9.4, NW, 43.0, NW, NW, 26.0, 28.0, 64.0, 69.0, 1018.8, 1015.3, 3.0, 6.0, 18.1, 18.9, No, 0.0, No
2010-08-21, NorfolkIsland, 17.9, 19.4, 0.0, 2.2, 3.1, NNW, 48.0, NW, SW, 26.0, 17.0, 87.0, 82.0, 1014.9, 1013.5, 8.0, 7.0, 19.0, 17.9, No, 9.4, Yes
2010-08-22, NorfolkIsland, 14.3, 19.0, 9.4, 2.0, 10.0, W, 46.0, SW, W, 19.0, 17.0, 73.0, 60.0, 1018.5, 1015.9, 6.0, 1.0, 16.6, 18.4, Yes, 2.0, Yes
2010-08-23, NorfolkIsland, 14.3, 18.2, 2.0, 5.4, 10.1, SW, 39.0, S, S, 17.0, 17.0, 56.0, 57.0, 1020.8, 1019.2, 3.0, 4.0, 16.2, 17.1, Yes, 0.0, No
2010-08-24, NorfolkIsland, 11.7, 18.2, 0.0, 4.0, 0.3, N, 41.0, NE, N, 9.0, 13.0, 69.0, 76.0, 1018.7, 1013.7, 8.0, 8.0, 16.1, 16.4, No, 8.0, Yes
2010-08-25, NorfolkIsland, 15.3, 20.3, 8.0, 0.8, 1.1, WNW, 33.0, WNW, WNW, 19.0, 19.0, 75.0, 69.0, 1010.6, 1009.4, 7.0, 7.0, 18.2, 19.2, Yes, 4.8, Yes
2010-08-26, NorfolkIsland, 15.9, 18.5, 4.8, 3.6, nan, W, 35.0, NW, NW, 9.0, 17.0, 96.0, 87.0, 1011.8, 1009.8, 8.0, 8.0, 16.8, 17.5, Yes, 1.6, Yes
2010-08-27, NorfolkIsland, 15.3, 18.8, 1.6, 0.6, 0.0, WNW, 52.0, NW, WNW, 13.0, 26.0, 83.0, 84.0, 1015.3, 1014.2, 8.0, 8.0, 17.7, 15.9, Yes, 11.6, Yes
2010-08-28, NorfolkIsland, 15.0, 20.4, 11.6, 0.6, 10.8, W, 37.0, W, NW, 20.0, 17.0, 67.0, 64.0, 1018.9, 1017.3, 1.0, 3.0, 18.6, 19.1, Yes, 0.2, No
2010-08-29, NorfolkIsland, 15.3, 18.5, 0.2, 5.0, 8.9, WSW, 50.0, W, WSW, 28.0, 30.0, 64.0, 46.0, 1018.6, 1017.3, 7.0, 6.0, 17.9, 17.6, No, 0.2, No
2010-08-30, NorfolkIsland, 13.0, 17.4, 0.2, 5.4, 7.0, WSW, 54.0, SW, WSW, 31.0, 26.0, 62.0, 62.0, 1018.8, 1016.3, 6.0, 7.0, 15.1, 16.2, No, 2.0, Yes
2010-08-31, NorfolkIsland, 12.1, 17.1, 2.0, 4.0, 9.1, WSW, 44.0, SW, SSW, 20.0, 17.0, 62.0, 67.0, 1019.0, 1018.3, 2.0, 7.0, 15.4, 15.6, Yes, 1.6, Yes
2010-09-01, NorfolkIsland, 12.5, 18.0, 1.6, 4.6, 8.8, WSW, 46.0, SSW, SW, 19.0, 22.0, 61.0, 55.0, 1023.4, 1022.3, 6.0, 5.0, 15.0, 16.3, Yes, 0.0, No
2010-09-02, NorfolkIsland, 13.4, 18.9, 0.0, 4.8, 5.5, W, 41.0, W, WNW, 20.0, 26.0, 48.0, 53.0, 1023.7, 1020.1, 7.0, 7.0, 16.7, 17.6, No, 0.0, No
2010-09-03, NorfolkIsland, 16.4, 20.2, 0.0, 8.0, 4.4, W, 56.0, WNW, W, 39.0, 31.0, 64.0, 73.0, 1019.9, 1017.9, 7.0, 8.0, 18.6, 18.9, No, 0.6, No
2010-09-04, NorfolkIsland, 14.1, 18.0, 0.6, 4.4, 9.3, E, 43.0, SE, E, 19.0, 30.0, 56.0, 53.0, 1029.0, 1027.5, 5.0, 1.0, 16.3, 17.1, No, 0.0, No
2010-09-05, NorfolkIsland, 13.7, 19.6, 0.0, 5.0, 6.2, NNE, 39.0, NNE, NE, 15.0, 22.0, 58.0, 55.0, 1030.6, 1026.3, 7.0, 2.0, 17.0, 19.5, No, 0.0, No
2010-09-06, NorfolkIsland, 16.8, 21.9, 0.0, 4.4, 8.8, N, 44.0, NNE, N, 20.0, 20.0, 71.0, 65.0, 1026.0, 1021.9, 6.0, 1.0, 18.8, 21.3, No, 0.0, No
2010-09-07, NorfolkIsland, 18.3, 22.4, 0.0, 4.0, 7.3, N, 44.0, N, NNW, 19.0, 22.0, 85.0, 81.0, 1022.2, 1019.3, 7.0, 6.0, 19.8, 21.1, No, 23.8, Yes
2010-09-08, NorfolkIsland, 15.6, 17.7, 23.8, 4.0, 0.0, SSE, 24.0, SSE, SE, 17.0, 13.0, 93.0, 83.0, 1021.4, 1019.0, 8.0, 7.0, 16.0, 17.3, Yes, 0.0, No
2010-09-09, NorfolkIsland, 14.3, 19.0, 0.0, 3.4, 10.7, SSW, 20.0, SW, SSW, 15.0, 11.0, 69.0, 62.0, 1020.8, 1018.8, 1.0, 2.0, 17.4, 18.5, No, 0.0, No
2010-09-10, NorfolkIsland, 12.4, 19.8, 0.0, 2.8, 6.4, NE, 41.0, ENE, NE, 13.0, 19.0, 71.0, 73.0, 1021.0, 1018.1, 6.0, 7.0, 17.6, 17.9, No, 0.0, No
2010-09-11, NorfolkIsland, 17.1, 20.5, 0.0, 3.2, 0.0, N, 48.0, N, N, 24.0, 20.0, 92.0, 93.0, 1015.0, 1013.0, 8.0, 8.0, 19.8, 19.7, No, 16.2, Yes
2010-09-12, NorfolkIsland, 16.1, 19.7, 16.2, 0.4, 10.1, SW, 37.0, SW, SW, 20.0, 20.0, 74.0, 72.0, 1017.2, 1016.1, 2.0, 3.0, 18.0, 19.0, Yes, 0.0, No
2010-09-13, NorfolkIsland, 13.4, 18.4, 0.0, 6.6, 10.4, SSW, 31.0, SSE, SW, 13.0, 15.0, 55.0, 53.0, 1019.9, 1018.2, 3.0, 2.0, 17.0, 17.7, No, 0.0, No
2010-09-14, NorfolkIsland, 12.9, 20.4, 0.0, 2.4, 9.7, WNW, 37.0, NW, NW, 13.0, 22.0, 60.0, 59.0, 1019.4, 1017.0, 2.0, 4.0, 18.2, 19.5, No, 1.4, Yes
2010-09-15, NorfolkIsland, 15.1, 20.5, 1.4, 5.2, 2.1, NNW, 59.0, NE, N, 11.0, 13.0, 76.0, 84.0, 1017.8, 1014.3, 6.0, 7.0, 18.0, 19.1, Yes, 0.0, No
2010-09-16, NorfolkIsland, 17.7, 20.4, 0.0, 2.4, 8.9, NW, 72.0, WNW, W, 43.0, 33.0, 76.0, 71.0, 1010.3, 1011.7, 5.0, 3.0, 19.4, 19.4, No, 0.0, No
2010-09-17, NorfolkIsland, 15.9, 20.9, 0.0, 5.8, 9.8, WNW, 48.0, WNW, W, 17.0, 28.0, 75.0, 75.0, 1016.0, 1014.2, 7.0, 7.0, 18.7, 19.4, No, 0.2, No
2010-09-18, NorfolkIsland, 15.5, 19.8, 0.2, 5.2, 9.1, SW, 33.0, WSW, W, 15.0, 19.0, 63.0, 59.0, 1019.7, 1017.8, 7.0, 1.0, 18.2, 19.1, No, 4.4, Yes
2010-09-19, NorfolkIsland, 16.0, 20.4, 4.4, 4.6, 8.3, SSW, 30.0, WNW, WSW, 19.0, 19.0, 73.0, 68.0, 1021.5, 1020.9, 2.0, 7.0, 19.0, 19.3, Yes, 0.0, No
2010-09-20, NorfolkIsland, 14.9, 20.3, 0.0, 3.6, 1.1, WSW, 28.0, NW, WNW, 6.0, 13.0, 77.0, 93.0, 1022.5, 1021.3, 1.0, 7.0, 19.8, 17.9, No, 3.2, Yes
2010-09-21, NorfolkIsland, 16.4, 19.1, 3.2, 1.2, 0.0, W, 28.0, WSW, W, 17.0, 13.0, 80.0, 90.0, 1021.8, 1018.7, 8.0, 8.0, 18.1, 17.6, Yes, 1.4, Yes
2010-09-22, NorfolkIsland, 16.5, 18.2, 1.4, 1.4, 8.1, SW, 61.0, WSW, SSE, 30.0, 31.0, 69.0, 54.0, 1018.7, 1019.1, 7.0, 3.0, 18.1, 17.1, Yes, 0.2, No
2010-09-23, NorfolkIsland, 11.4, 18.2, 0.2, 3.4, 4.8, E, 28.0, E, E, 13.0, 13.0, 49.0, 54.0, 1023.7, 1022.4, 7.0, 7.0, 16.2, 16.0, No, 0.0, No
2010-09-24, NorfolkIsland, 13.7, 19.2, 0.0, 6.0, 6.2, E, 33.0, E, ESE, 15.0, 20.0, 54.0, 45.0, 1024.5, 1022.2, 7.0, 2.0, 16.3, 17.8, No, 0.0, No
2010-09-25, NorfolkIsland, 12.3, 19.6, 0.0, 4.0, 10.6, E, 37.0, ESE, E, 19.0, 22.0, 48.0, 55.0, 1025.5, 1023.3, 1.0, 1.0, 17.7, 18.9, No, 0.0, No
2010-09-26, NorfolkIsland, 15.1, 20.6, 0.0, 5.4, 2.0, ENE, 41.0, ENE, ENE, 26.0, 28.0, 74.0, 77.0, 1024.7, 1022.5, 7.0, 7.0, 18.1, 19.6, No, 7.6, Yes
2010-09-27, NorfolkIsland, 17.0, 19.6, 7.6, 2.6, 0.0, ENE, 50.0, ENE, E, 28.0, 24.0, 92.0, 95.0, 1022.4, 1019.2, 8.0, 8.0, 17.8, 17.5, Yes, 29.9, Yes
2010-09-28, NorfolkIsland, 16.1, 21.3, 29.9, 1.1, 9.0, ENE, 37.0, E, ESE, 24.0, 17.0, 84.0, 87.0, 1018.7, 1016.8, 4.0, 7.0, 19.5, 19.8, Yes, 1.8, Yes
2010-09-29, NorfolkIsland, 17.5, 22.5, 1.8, 3.0, 4.6, ENE, 35.0, NE, NNW, 20.0, 15.0, 97.0, 88.0, 1017.2, 1014.6, 8.0, 8.0, 18.9, 20.6, Yes, 0.4, No
2010-09-30, NorfolkIsland, 17.8, 23.8, 0.4, 1.8, 5.4, SSW, 48.0, NNE, NNW, 24.0, 17.0, 81.0, 90.0, 1016.9, 1016.0, 5.0, 7.0, 22.1, 21.6, No, 10.8, Yes
2010-10-01, NorfolkIsland, 16.1, 17.9, 10.8, 3.6, 0.5, SE, 56.0, SE, SE, 20.0, 30.0, 85.0, 81.0, 1022.4, 1021.8, 8.0, 8.0, 17.2, 17.2, Yes, 0.6, No
2010-10-02, NorfolkIsland, 15.8, 19.0, 0.6, 3.8, 2.0, ESE, 52.0, ESE, ESE, 26.0, 28.0, 69.0, 69.0, 1027.6, 1025.7, 8.0, 8.0, 17.0, 17.7, No, 0.0, No
2010-10-03, NorfolkIsland, 15.6, 18.6, 0.0, 4.0, 2.3, SE, 50.0, ESE, ESE, 22.0, 30.0, 62.0, 61.0, 1028.8, 1026.8, 8.0, 7.0, 16.8, 17.4, No, 0.0, No
2010-10-04, NorfolkIsland, 15.3, 19.4, 0.0, 7.0, 3.3, E, 56.0, E, E, 24.0, 30.0, 58.0, 63.0, 1027.7, 1024.1, 8.0, 8.0, 17.0, 17.8, No, 0.6, No
2010-10-05, NorfolkIsland, 14.6, 19.9, 0.6, 5.2, 2.9, E, 48.0, E, E, 20.0, 30.0, 82.0, 60.0, 1025.7, 1022.9, 7.0, 2.0, 16.4, 18.5, No, 0.6, No
2010-10-06, NorfolkIsland, 15.3, 20.1, 0.6, 5.4, 9.4, E, 54.0, E, E, 28.0, 31.0, 72.0, 70.0, 1025.0, 1022.6, 6.0, 6.0, 18.1, 18.2, No, 0.0, No
2010-10-07, NorfolkIsland, 16.2, 20.4, 0.0, 6.6, 9.5, ENE, 48.0, E, ENE, 28.0, 30.0, 67.0, 71.0, 1022.9, 1020.3, 6.0, 5.0, 18.4, 18.6, No, 0.0, No
2010-10-08, NorfolkIsland, 15.6, 21.2, 0.0, 4.8, 10.1, NE, 37.0, NE, NNE, 28.0, 17.0, 73.0, 69.0, 1019.6, 1018.6, 3.0, 4.0, 19.8, 20.3, No, 0.0, No
2010-10-09, NorfolkIsland, 15.9, 21.9, 0.0, 5.0, 10.2, SE, 35.0, SE, SE, 9.0, 22.0, 66.0, 82.0, 1020.9, 1020.5, 2.0, 7.0, 20.3, 20.0, No, 0.4, No
2010-10-10, NorfolkIsland, 17.1, 21.3, 0.4, 4.6, 8.7, E, 46.0, ESE, E, 24.0, 30.0, 81.0, 68.0, 1024.9, 1024.0, 7.0, 3.0, 18.7, 20.3, No, 1.0, No
2010-10-11, NorfolkIsland, 15.3, 18.9, 1.0, 6.2, 10.9, SE, 65.0, SE, SE, 33.0, 39.0, 53.0, 51.0, 1029.2, 1028.4, 7.0, 2.0, 16.7, 16.8, No, 0.0, No
2010-10-12, NorfolkIsland, 12.9, 17.7, 0.0, 10.8, 7.0, S, 63.0, SSE, S, 26.0, 37.0, 50.0, 54.0, 1027.7, 1023.5, 7.0, 5.0, 15.6, 15.9, No, 0.0, No
2010-10-13, NorfolkIsland, 13.2, 18.3, 0.0, 7.2, 6.7, SSW, 59.0, S, SSW, 31.0, 30.0, 53.0, 65.0, 1017.7, 1014.7, 7.0, 6.0, 16.5, 16.5, No, 0.0, No
2010-10-14, NorfolkIsland, 14.1, 19.2, 0.0, 4.0, 2.4, SW, 44.0, SSW, SW, 22.0, 26.0, 60.0, 61.0, 1015.5, 1014.4, 7.0, 7.0, 16.8, 17.7, No, 0.2, No
2010-10-15, NorfolkIsland, 14.3, 20.0, 0.2, 4.2, 1.1, SSW, 26.0, S, ESE, 13.0, 9.0, 71.0, 71.0, 1017.3, 1014.9, 6.0, 7.0, 17.3, 17.5, No, 0.4, No
2010-10-16, NorfolkIsland, 13.3, 22.3, 0.4, 4.2, 10.8, N, 54.0, NE, N, 20.0, 20.0, 68.0, 66.0, 1014.9, 1011.2, 3.0, 5.0, 19.4, 21.6, No, 4.4, Yes
2010-10-17, NorfolkIsland, 16.9, 20.8, 4.4, 2.8, 7.3, N, 54.0, SW, SW, 22.0, 24.0, 95.0, 55.0, 1010.2, 1010.3, 8.0, 1.0, 17.5, 20.1, Yes, 0.6, No
2010-10-18, NorfolkIsland, 15.4, 20.3, 0.6, 6.8, 10.6, S, 33.0, SSW, SW, 15.0, 17.0, 56.0, 62.0, 1017.7, 1017.6, 2.0, 3.0, 18.9, 19.4, No, 0.0, No
2010-10-19, NorfolkIsland, 13.6, 20.6, 0.0, 4.4, 11.4, WSW, 28.0, SW, W, 9.0, 13.0, 68.0, 56.0, 1021.4, 1019.6, 2.0, 1.0, 17.8, 19.6, No, 1.2, Yes
2010-10-20, NorfolkIsland, 15.4, 19.2, 1.2, 3.4, 10.5, S, 48.0, S, S, 30.0, 26.0, 61.0, 61.0, 1021.3, 1020.5, 6.0, 4.0, 17.5, 17.5, Yes, 0.0, No
2010-10-21, NorfolkIsland, 13.4, 19.1, 0.0, 9.4, 7.3, S, 39.0, S, S, 20.0, 19.0, 52.0, 56.0, 1023.9, 1021.4, 6.0, 7.0, 17.2, 17.0, No, 0.0, No
2010-10-22, NorfolkIsland, 14.9, 19.1, 0.0, 5.8, 0.7, S, 30.0, SE, SE, 15.0, 15.0, 49.0, 53.0, 1023.7, 1022.3, 7.0, 8.0, 17.4, 17.7, No, 0.8, No
2010-10-23, NorfolkIsland, 14.8, 19.2, 0.8, 3.0, 1.0, E, 37.0, E, ENE, 24.0, 20.0, 68.0, 66.0, 1023.5, 1021.5, 7.0, 8.0, 17.6, 17.7, No, 4.6, Yes
2010-10-24, NorfolkIsland, 15.6, 21.4, 4.6, 4.2, 5.7, ENE, 39.0, ENE, NE, 19.0, 20.0, 80.0, 71.0, 1022.8, 1021.2, 7.0, 4.0, 18.8, 20.3, Yes, 1.8, Yes
2010-10-25, NorfolkIsland, 17.5, 22.3, 1.8, 2.8, 9.1, E, 54.0, ENE, ENE, 28.0, 39.0, 89.0, 75.0, 1023.6, 1021.7, 7.0, 4.0, 19.5, 21.3, Yes, 0.0, No
2010-10-26, NorfolkIsland, 17.9, 22.3, 0.0, 6.8, 8.2, ENE, 56.0, E, ENE, 33.0, 35.0, 78.0, 74.0, 1022.5, 1020.7, 7.0, 8.0, 19.8, 20.3, No, 0.0, No
2010-10-27, NorfolkIsland, 18.0, 22.7, 0.0, 5.4, 9.0, NE, 43.0, ENE, ENE, 28.0, 31.0, 78.0, 75.0, 1020.1, 1018.0, 7.0, 6.0, 20.1, 21.2, No, 0.0, No
2010-10-28, NorfolkIsland, 18.7, 21.8, 0.0, 4.6, 3.9, ENE, 44.0, ENE, NE, 28.0, 26.0, 75.0, 79.0, 1017.7, 1016.3, 7.0, 8.0, 21.2, 19.9, No, 0.4, No
2010-10-29, NorfolkIsland, 18.9, 19.9, 0.4, 4.0, 0.0, ENE, 70.0, ENE, ENE, 26.0, 28.0, 85.0, 91.0, 1019.2, 1018.2, 8.0, 8.0, 19.5, 18.9, No, 8.6, Yes
2010-10-30, NorfolkIsland, 18.2, 21.0, 8.6, 2.4, 2.3, ENE, 65.0, NE, NE, 39.0, 24.0, 86.0, 88.0, 1018.7, 1018.2, 8.0, 7.0, 19.8, 19.3, Yes, 4.8, Yes
2010-10-31, NorfolkIsland, 17.4, 19.9, 4.8, 3.2, 0.4, E, 69.0, ENE, ENE, 41.0, 46.0, 84.0, 89.0, 1017.9, 1016.1, 8.0, 8.0, 18.3, 17.8, Yes, 5.4, Yes
2010-11-01, NorfolkIsland, 16.5, 20.0, 5.4, 4.6, 7.2, E, 61.0, E, E, 31.0, 39.0, 70.0, 59.0, 1020.6, 1019.5, 7.0, 7.0, 17.6, 19.1, Yes, 0.0, No
2010-11-02, NorfolkIsland, 15.7, 21.1, 0.0, 5.6, 6.7, ENE, 57.0, E, ENE, 39.0, 33.0, 57.0, 69.0, 1021.2, 1019.7, 6.0, 7.0, 18.6, 18.5, No, 0.0, No
2010-11-03, NorfolkIsland, 17.3, 22.2, 0.0, 8.0, 5.3, NE, 52.0, NE, NE, 35.0, 24.0, 70.0, 81.0, 1018.8, 1016.2, 7.0, 7.0, 19.3, 20.5, No, 17.8, Yes
2010-11-04, NorfolkIsland, 19.2, 21.6, 17.8, 4.8, 3.1, NNE, 37.0, SW, SW, 13.0, 20.0, 89.0, 82.0, 1015.4, 1014.3, 7.0, 8.0, 19.9, 19.6, Yes, 0.0, No
2010-11-05, NorfolkIsland, 17.1, 19.5, 0.0, 4.8, 1.6, E, 35.0, S, ESE, 19.0, 17.0, 61.0, 65.0, 1016.7, 1014.3, 7.0, 8.0, 19.4, 16.1, No, 5.0, Yes
2010-11-06, NorfolkIsland, 14.2, 18.9, 5.0, 3.8, 4.0, SE, 48.0, SE, SE, 28.0, 28.0, 69.0, 64.0, 1013.9, 1014.1, 7.0, 6.0, 17.3, 17.2, Yes, 0.2, No
2010-11-07, NorfolkIsland, 14.0, 19.7, 0.2, 3.0, 7.3, SE, 33.0, SE, SE, 15.0, 22.0, 83.0, 60.0, 1020.7, 1019.5, 7.0, 2.0, 16.1, 18.7, No, 0.0, No
2010-11-08, NorfolkIsland, 14.5, 20.5, 0.0, 4.4, 11.8, ESE, 37.0, E, ESE, 22.0, 22.0, 61.0, 57.0, 1024.9, 1025.1, 4.0, 6.0, 18.7, 19.7, No, 0.0, No
2010-11-09, NorfolkIsland, 15.6, 20.8, 0.0, 7.4, 10.7, E, 44.0, ESE, E, 26.0, 26.0, 67.0, 60.0, 1028.9, 1028.1, 2.0, 6.0, 18.5, 19.3, No, 0.0, No
2010-11-10, NorfolkIsland, 15.2, 20.3, 0.0, 8.0, 9.3, ESE, 41.0, SE, SE, 24.0, 22.0, 60.0, 59.0, 1027.6, 1025.4, 3.0, 4.0, 18.7, 19.0, No, 1.2, Yes
2010-11-11, NorfolkIsland, 14.9, 20.4, 1.2, 7.0, 12.0, E, 41.0, E, E, 24.0, 24.0, 59.0, 59.0, 1022.8, 1020.6, 6.0, 4.0, 18.8, 19.4, Yes, 0.0, No
2010-11-12, NorfolkIsland, 13.7, 21.0, 0.0, 8.0, 12.8, E, 44.0, ESE, E, 20.0, 30.0, 54.0, 55.0, 1022.7, 1021.2, 7.0, 7.0, 19.6, 20.0, No, 0.2, No
2010-11-13, NorfolkIsland, 16.0, 21.1, 0.2, 8.2, 12.6, E, 52.0, E, ESE, 26.0, 30.0, 60.0, 60.0, 1026.6, 1024.7, 3.0, 2.0, 20.5, 20.2, No, 0.0, No
2010-11-14, NorfolkIsland, 16.1, 21.3, 0.0, 7.8, 12.2, E, 44.0, ESE, ESE, 28.0, 28.0, 68.0, 68.0, 1024.9, 1021.9, 1.0, 3.0, 19.1, 20.2, No, 0.0, No
2010-11-15, NorfolkIsland, 16.2, 21.0, 0.0, 7.6, 12.5, E, 46.0, ESE, E, 24.0, 30.0, 66.0, 55.0, 1020.6, 1018.9, 5.0, 1.0, 19.1, 19.8, No, 0.0, No
2010-11-16, NorfolkIsland, 16.5, 20.9, 0.0, 7.4, 2.9, ESE, 61.0, ESE, ESE, 24.0, 28.0, 65.0, 67.0, 1017.1, 1013.4, 7.0, 7.0, 19.1, 18.5, No, 5.2, Yes
2010-11-17, NorfolkIsland, 16.5, 21.5, 5.2, 5.0, 2.7, E, 63.0, E, E, 37.0, 26.0, 92.0, 86.0, 1012.3, 1010.1, 7.0, 7.0, 19.4, 20.6, Yes, 3.4, Yes
2010-11-18, NorfolkIsland, 18.3, 22.5, 3.4, 3.0, 4.4, SE, 31.0, SE, SSW, 17.0, 20.0, 96.0, 89.0, 1012.5, 1012.3, 8.0, 7.0, 19.6, 20.1, Yes, 0.2, No
2010-11-19, NorfolkIsland, 17.7, 23.0, 0.2, 3.6, 7.8, WSW, 26.0, WSW, WSW, 13.0, 15.0, 73.0, 64.0, 1017.2, 1016.1, 6.0, 7.0, 20.7, 22.4, No, 0.0, No
2010-11-20, NorfolkIsland, 18.9, 23.5, 0.0, 4.4, 8.6, SSW, 28.0, W, SW, 13.0, 17.0, 73.0, 73.0, 1017.5, 1015.4, 7.0, 6.0, 21.0, 21.6, No, 3.2, Yes
2010-11-21, NorfolkIsland, 17.6, 20.7, 3.2, 5.8, 1.6, SE, 50.0, SE, SE, 20.0, 33.0, 94.0, 78.0, 1016.2, 1016.1, 8.0, 7.0, 18.4, 19.3, Yes, 0.8, No
2010-11-22, NorfolkIsland, 17.2, 21.2, 0.8, 4.8, 4.9, SE, 44.0, SE, SE, 26.0, 24.0, 63.0, 62.0, 1020.6, 1019.4, 8.0, 7.0, 18.1, 18.6, No, 0.0, No
2010-11-23, NorfolkIsland, 16.7, 20.5, 0.0, 7.4, 11.7, SE, 56.0, ESE, ESE, 26.0, 30.0, 62.0, 59.0, 1023.2, 1022.7, 5.0, 4.0, 20.1, 19.0, No, 0.0, No
2010-11-24, NorfolkIsland, 16.5, 20.9, 0.0, 8.0, 8.5, SE, 48.0, SE, SE, 26.0, 26.0, 57.0, 64.0, 1024.5, 1022.8, 7.0, 2.0, 17.7, 19.7, No, 0.0, No
2010-11-25, NorfolkIsland, 16.6, 21.1, 0.0, 7.4, 11.3, ESE, 43.0, SE, SE, 24.0, 28.0, 59.0, 52.0, 1024.1, 1022.0, 2.0, 1.0, 19.6, 19.9, No, 0.0, No
2010-11-26, NorfolkIsland, 16.2, 20.8, 0.0, 8.4, 4.7, SE, 37.0, SE, SE, 22.0, 20.0, 56.0, 61.0, 1021.8, 1019.1, 7.0, 7.0, 18.0, 19.7, No, 0.6, No
2010-11-27, NorfolkIsland, 15.9, 21.1, 0.6, 4.8, 6.6, E, 48.0, ESE, SE, 20.0, 20.0, 78.0, 71.0, 1018.8, 1016.6, 7.0, 7.0, 18.2, 19.6, No, 0.0, No
2010-11-28, NorfolkIsland, 17.5, 21.8, 0.0, 6.0, 5.8, ESE, 54.0, E, E, 30.0, 31.0, 70.0, 69.0, 1018.5, 1016.5, 7.0, 7.0, 19.6, 20.8, No, 0.0, No
2010-11-29, NorfolkIsland, 16.9, 22.0, 0.0, 5.0, 8.5, ESE, 48.0, E, E, 26.0, 33.0, 65.0, 68.0, 1017.0, 1015.4, 7.0, 6.0, 19.7, 20.2, No, 4.8, Yes
2010-11-30, NorfolkIsland, 15.7, 21.9, 4.8, 6.2, 7.6, ESE, 41.0, E, SE, 24.0, 20.0, 81.0, 69.0, 1016.9, 1015.7, 7.0, 2.0, 18.8, 20.7, Yes, 0.6, No
2010-12-01, NorfolkIsland, 16.4, 21.7, 0.6, 7.4, 8.8, SE, 46.0, SE, ESE, 22.0, 26.0, 73.0, 66.0, 1017.9, 1016.6, 7.0, 2.0, 19.7, 21.0, No, 0.0, No
2010-12-02, NorfolkIsland, 17.0, 22.2, 0.0, 5.0, 9.6, ESE, 41.0, ESE, SE, 24.0, 19.0, 62.0, 66.0, 1018.5, 1017.7, 7.0, 7.0, 19.1, 19.8, No, 0.2, No
2010-12-03, NorfolkIsland, 16.8, 21.8, 0.2, 7.6, 6.6, SE, 43.0, SE, SE, 24.0, 20.0, 87.0, 73.0, 1018.2, 1016.9, 7.0, 7.0, 18.0, 19.6, No, 0.2, No
2010-12-04, NorfolkIsland, 15.8, 21.5, 0.2, 7.8, 1.8, ESE, 44.0, ESE, ESE, 20.0, 19.0, 67.0, 66.0, 1017.0, 1016.1, 7.0, 7.0, 20.2, 19.4, No, 0.0, No
2010-12-05, NorfolkIsland, 16.9, 22.8, 0.0, 5.4, 8.5, E, 37.0, E, ESE, 22.0, 24.0, 60.0, 61.0, 1017.0, 1015.2, 6.0, 5.0, 19.9, 20.5, No, 0.0, No
